iter	Passed	Remaining
0	1	156
1	3	153
2	4	149
3	5	138
4	7	151
5	9	148
6	11	147
7	12	146
8	14	144
9	15	142
10	17	142
11	19	143
12	20	139
13	22	136
14	23	133
15	25	131
16	26	128
17	28	130
18	30	132
19	32	131
20	34	129
21	35	126
22	37	124
23	38	121
24	39	119
25	41	118
26	43	117
27	44	115
28	45	112
29	47	109
30	48	108
31	49	105
32	50	103
33	52	101
34	54	100
35	55	98
36	57	97
37	58	95
38	60	93
39	61	91
40	62	89
41	63	87
42	64	85
43	66	84
44	67	82
45	69	81
46	70	79
47	72	78
48	73	76
49	74	74
50	75	72
51	77	71
52	78	69
53	80	68
54	81	66
55	82	65
56	84	63
57	85	61
58	86	60
59	88	58
60	89	57
61	90	55
62	92	54
63	93	52
64	95	51
65	96	49
66	98	48
67	99	46
68	100	45
69	101	43
70	103	42
71	104	40
72	106	39
73	108	38
74	110	36
75	111	35
76	112	33
77	113	32
78	114	30
79	116	29
80	117	27
81	119	26
82	120	24
83	122	23
84	123	21
85	125	20
86	126	18
87	128	17
88	131	16
89	133	14
90	134	13
91	135	11
92	137	10
93	138	8
94	140	7
95	142	5
96	143	4
97	145	2
98	146	1
99	148	0
